1: SwapMove((6, 6) -> (3, 1))
2: SwapMove((6, 5) -> (2, 6))
3: SwapMove((6, 4) -> (0, 6))
4: SwapMove((6, 3) -> (4, 4))
5: SwapMove((6, 2) -> (1, 6))
6: SwapMove((6, 1) -> (4, 0))
7: SwapMove((6, 0) -> (0, 5))
8: SwapMove((5, 6) -> (0, 0))
9: SwapMove((5, 5) -> (0, 5))
10: SwapMove((5, 4) -> (1, 1))
11: SwapMove((5, 3) -> (2, 2))
12: SwapMove((5, 2) -> (2, 2))
13: SwapMove((5, 1) -> (3, 3))
14: SwapMove((5, 0) -> (3, 1))
15: SwapMove((4, 6) -> (4, 4))
16: SwapMove((4, 5) -> (1, 6))
17: SwapMove((4, 4) -> (3, 3))
18: SwapMove((4, 3) -> (3, 1))
19: SwapMove((4, 2) -> (3, 6))
20: SwapMove((4, 1) -> (0, 3))
21: SwapMove((4, 0) -> (0, 5))
22: SwapMove((3, 6) -> (1, 5))
23: SwapMove((3, 5) -> (2, 2))
24: SwapMove((3, 4) -> (2, 2))
25: SwapMove((3, 3) -> (2, 5))
26: SwapMove((3, 2) -> (1, 5))
27: SwapMove((3, 1) -> (2, 5))
28: SwapMove((3, 0) -> (2, 0))
29: SwapMove((2, 6) -> (0, 2))
30: SwapMove((2, 5) -> (1, 2))
31: SwapMove((2, 4) -> (1, 3))
32: SwapMove((2, 3) -> (1, 4))
33: SwapMove((2, 2) -> (2, 1))
34: SwapMove((2, 1) -> (0, 6))
35: SwapMove((2, 0) -> (1, 3))
36: SwapMove((1, 6) -> (0, 3))
37: SwapMove((1, 5) -> (0, 0))
38: SwapMove((1, 4) -> (0, 5))
39: SwapMove((1, 3) -> (1, 2))
40: SwapMove((1, 2) -> (0, 5))
41: SwapMove((1, 0) -> (0, 0))
42: SwapMove((0, 6) -> (0, 1))
43: SwapMove((0, 4) -> (0, 2))
44: SwapMove((0, 3) -> (0, 0))
45: SwapMove((0, 2) -> (0, 1))
46: SwapMove((0, 1) -> (0, 0))
